City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Svetlyy,RU,54.675,20.1347,51.85,72,55,5.26,broken clouds
268,Boguchany,RU,58.3814,97.4531,51.35,96,98,11.56,light rain
269,Komsomolskiy,UZ,40.4272,71.7189,81.82,28,77,6.91,broken clouds
270,Leningradskiy,RU,69.3833,178.4167,41.85,71,17,14.47,few clouds
271,Jumla,NP,29.2747,82.1838,54.36,87,17,3.51,few clouds
272,Takoradi,GH,4.8845,-1.7554,79.43,81,10,9.66,clear sky
273,Alyangula,AU,-13.8483,136.4192,75.07,94,90,10.51,overcast clouds
274,Jinchang,CN,38.4953,102.1739,64.18,44,71,9.4,broken clouds
275,Bukachacha,RU,52.9833,116.9167,65.7,41,23,4.34,few clouds
276,Port Blair,IN,11.6667,92.75,83.75,76,100,12.01,overcast clouds
277,Nizhniy Kuranakh,RU,58.8353,125.4869,52.93,84,83,11.5,broken clouds
278,Rovaniemi,FI,66.5,25.7167,56.61,35,0,12.66,clear sky
279,Fort Nelson,CA,58.8053,-122.7002,60.39,41,75,8.05,broken clouds
280,Terrace Bay,CA,48.7834,-87.1,76.62,92,82,8.79,broken clouds
281,Altamont,US,42.2068,-121.7372,70.77,30,1,7.0,clear sky
282,Tarko-Sale,RU,64.9225,77.785,37.99,85,27,11.12,scattered clouds
283,Pisco,PE,-13.7,-76.2167,65.01,77,0,8.05,clear sky
284,Cedar City,US,37.6775,-113.0619,86.97,8,1,16.11,clear sky
285,Ngunguru,NZ,-35.6167,174.5,60.17,93,100,33.35,moderate rain
286,Kaukauna,US,44.278,-88.272,90.18,46,40,3.0,scattered clouds
287,Casablanca,MA,33.5928,-7.6192,71.33,73,8,11.01,clear sky
288,Saint George,US,37.1041,-113.5841,104.47,11,1,5.99,clear sky
289,Nouadhibou,MR,20.931,-17.0347,67.98,77,94,16.11,sand
290,Iqaluit,CA,63.7506,-68.5145,33.53,86,75,5.99,broken clouds
291,Lorengau,PG,-2.0226,147.2712,82.85,70,90,5.91,overcast clouds
292,Roela,EE,59.1667,26.5926,54.14,84,9,4.16,clear sky
293,Geraldton,AU,-28.7667,114.6,55.81,82,94,17.67,overcast clouds
294,Kutum,SD,14.2,24.6667,78.62,17,9,8.72,clear sky
295,Natal,BR,-5.795,-35.2094,75.85,88,75,9.66,broken clouds
296,Uribia,CO,11.7139,-72.266,82.6,66,100,18.68,overcast clouds
297,Shubarkuduk,KZ,49.1447,56.4872,62.92,59,100,3.13,overcast clouds
298,Kununurra,AU,-15.7667,128.7333,60.78,72,21,0.0,few clouds
299,Itoman,JP,26.1247,127.6694,75.58,94,75,13.8,light rain
300,Sawakin,SD,19.1059,37.3321,82.53,64,26,8.43,scattered clouds
301,Laa,SL,8.0797,-10.7732,74.86,98,73,2.89,broken clouds
302,Kalmunai,LK,7.4167,81.8167,80.33,79,97,2.73,overcast clouds
303,Honningsvag,NO,70.9821,25.9704,40.23,71,2,6.76,clear sky
304,Dumbravita,RO,45.7667,25.4333,57.54,76,4,2.04,clear sky
305,Bowen,AU,-20.0167,148.2333,66.42,75,89,11.65,overcast clouds
306,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,20,4.61,few clouds
307,Huarmey,PE,-10.0681,-78.1522,66.34,81,96,8.41,overcast clouds
308,Husavik,IS,66.0449,-17.3389,51.71,82,72,3.38,broken clouds
309,Banda Aceh,ID,5.5577,95.3222,79.2,73,100,13.47,overcast clouds
310,Severnyy-Kospashskiy,RU,59.0925,57.8008,52.61,82,69,2.53,broken clouds
311,Rundu,NA,-17.9333,19.7667,48.74,58,21,6.33,few clouds
312,Illela,NG,13.7292,5.2975,82.45,59,99,19.01,overcast clouds
313,Crestview,US,30.7621,-86.5705,85.08,76,20,10.36,few clouds
314,Tanout,NE,14.9709,8.8879,89.19,30,98,4.29,overcast clouds
315,Martinsville,US,36.6915,-79.8725,86.68,65,75,8.68,broken clouds
316,Surazh,RU,53.0175,32.3918,53.8,94,70,7.07,broken clouds
317,Nanortalik,GL,60.1432,-45.2371,44.28,74,100,13.91,overcast clouds
318,Anadyr,RU,64.75,177.4833,46.9,61,75,8.19,light rain
319,Cap Malheureux,MU,-19.9842,57.6142,75.69,85,9,1.99,light rain
320,Tabuk,PH,17.4189,121.4443,75.79,92,100,3.11,overcast clouds
321,Yantal,RU,56.8471,105.2542,49.8,51,15,4.92,few clouds
322,Kruisfontein,ZA,-34.0033,24.7314,56.55,22,2,8.25,clear sky
323,Yushu,CN,44.8,126.5333,61.32,71,5,3.38,clear sky
324,Mayskiy,RU,47.6931,40.1025,58.44,92,67,6.96,broken clouds
325,Valle De Allende,MX,26.9333,-105.4,90.91,11,23,4.14,few clouds
326,Zhuhai,CN,22.2769,113.5678,82.18,83,20,11.3,few clouds
327,Rawson,AR,-43.3002,-65.1023,49.62,51,53,21.47,broken clouds
328,Kaitangata,NZ,-46.2817,169.8464,49.15,73,74,4.94,broken clouds
329,Bilma,NE,18.6853,12.9164,91.96,16,99,7.85,overcast clouds
330,Bull Savanna,JM,17.8868,-77.5902,80.35,71,14,13.91,few clouds
331,Panguna,PG,-6.3164,155.4848,77.41,74,86,3.24,light rain
332,Boende,CD,-0.2167,20.8667,70.25,98,100,1.59,overcast clouds
333,Kantunilkin,MX,21.0917,-87.45,85.95,58,44,8.25,scattered clouds
334,Okakarara,NA,-20.5833,17.4333,45.88,53,0,7.72,clear sky
335,Kyshtovka,RU,56.555,76.6271,56.86,79,68,8.7,broken clouds
336,Emba,KZ,48.8264,58.1442,65.28,49,100,6.6,overcast clouds
337,Ciudad Guayana,VE,8.3533,-62.6528,76.62,86,53,7.9,broken clouds
338,Bobcaygeon,CA,44.5462,-78.542,83.48,69,17,7.56,few clouds
339,Lagoa,PT,39.05,-27.9833,63.82,88,100,11.7,overcast clouds
340,Ginir,ET,7.1333,40.7,55.98,87,58,6.33,broken clouds
341,Kihei,US,20.785,-156.4656,86.02,65,20,9.71,few clouds
342,Esfarayen,IR,37.0765,57.5101,62.26,46,0,2.15,clear sky
343,Chernyshevskiy,RU,63.0128,112.4714,42.33,56,8,15.66,clear sky
344,Mattru,SL,7.6244,-11.8332,76.14,97,85,3.87,overcast clouds
345,Guarapari,BR,-20.6667,-40.4975,73.29,87,100,9.93,overcast clouds
